threshold,precision,recall,f1,specificity,false_alarm_rate,miss_rate,balanced_score,tp,fp,fn,tn
0.1,0.7005477784540475,0.8766184310738766,0.7787550744248986,0.9649722340879966,0.03502776591200342,0.12338156892612338,0.8415906651618732,1151,492,162,13554
0.11,0.714108141702921,0.8750952018278751,0.786447638603696,0.9672504627652001,0.032749537234799946,0.12490479817212491,0.8423456645930752,1149,460,164,13586
0.12,0.7234848484848485,0.8728103579588729,0.7911632723507077,0.9688167449807774,0.031183255019222554,0.12718964204112718,0.8416271029396503,1146,438,167,13608
0.13,0.7322683706070288,0.8728103579588729,0.7963863794301599,0.970169443257867,0.02983055674213299,0.12718964204112718,0.8429798012167399,1146,419,167,13627
0.14,0.7390180878552972,0.8712871287128713,0.7997203774903879,0.9712373629503062,0.028762637049693864,0.12871287128712872,0.8425244916631774,1144,404,169,13642
0.15,0.744140625,0.8705255140898706,0.8023868023868025,0.9720205040580948,0.02797949594190517,0.12947448591012947,0.8425460181479654,1143,393,170,13653
0.16,0.7475474166121648,0.8705255140898706,0.8043631245601689,0.9725188665812331,0.027481133418766908,0.12947448591012947,0.8430443806711037,1143,386,170,13660
0.17,0.7511520737327189,0.869002284843869,0.8057909604519774,0.973088423750534,0.02691157624946604,0.130997715156131,0.8420907085944029,1141,378,172,13668
0.18,0.7584830339321357,0.8682406702208683,0.8096590909090908,0.9741563434429731,0.02584365655702691,0.13175932977913177,0.8423970136638413,1140,363,173,13683
0.19,0.7644295302013423,0.8674790555978675,0.812700677845166,0.9750106791969244,0.02498932080307561,0.13252094440213252,0.842489734794792,1139,351,174,13695
0.2,0.7686062246278755,0.8651942117288652,0.8140451451092797,0.9756514310123878,0.024348568987612132,0.13480578827113482,0.8408456427412531,1136,342,177,13704
0.21,0.7752732240437158,0.8644325971058644,0.8174288800864241,0.9765769614125018,0.02342303858749822,0.13556740289413557,0.8410095585183662,1135,329,178,13717
0.22,0.7822191592005513,0.8644325971058644,0.821273516642547,0.9775024918126157,0.02249750818738431,0.13556740289413557,0.8419350889184801,1135,316,178,13730
0.23,0.7857142857142857,0.8629093678598629,0.8225045372050817,0.9780008543357539,0.021999145664246048,0.1370906321401371,0.8409102221956168,1133,309,180,13737
0.24,0.7936842105263158,0.8613861386138614,0.8261504747991235,0.979068774028193,0.02093122597180692,0.13861386138613863,0.8404549126420544,1131,294,182,13752
0.25,0.7992932862190812,0.8613861386138614,0.8291788856304985,0.9797807204898191,0.020219279510180835,0.13861386138613863,0.8411668591036805,1131,284,182,13762
0.26,0.806566738044254,0.8606245239908606,0.8327192336035371,0.9807062508899331,0.019293749110066923,0.13937547600913938,0.8413307748807938,1130,271,183,13775
0.27,0.8106169296987088,0.8606245239908606,0.8348725526413003,0.9812046134130713,0.018795386586928663,0.13937547600913938,0.841829137403932,1130,264,183,13782
0.28,0.8176555716353111,0.8606245239908606,0.8385899814471243,0.9820589491670226,0.01794105083297736,0.13937547600913938,0.8426834731578833,1130,252,183,13794
0.29,0.8193033381712627,0.8598629093678599,0.8390932738758826,0.9822725331055104,0.017727466894489535,0.14013709063214014,0.8421354424733704,1129,249,184,13797
0.3,0.8238304093567251,0.8583396801218584,0.8407310704960835,0.9828420902748113,0.017157909725188665,0.14166031987814165,0.8411817703966696,1127,241,186,13805
0.31,0.8273328434974284,0.8575780654988576,0.8421839940164548,0.983269258151787,0.016730741848213014,0.14242193450114243,0.8408473236506446,1126,235,187,13811
0.32,0.8314855875831486,0.8568164508758568,0.8439609902475618,0.9837676206749253,0.016232379325074753,0.1431835491241432,0.8405840715507821,1125,228,188,13818
0.33,0.8328380386329867,0.8537699923838538,0.843174125611132,0.9839812046134131,0.016018795386586928,0.14623000761614624,0.8377511969972669,1121,225,192,13821
0.34,0.8387096774193549,0.8514851485148515,0.8450491307634165,0.9846931510750392,0.015306848924960844,0.1485148514851485,0.8361782995898907,1118,215,195,13831
0.35,0.8446969696969697,0.8492003046458492,0.846942650968477,0.9854050975366653,0.014594902463334758,0.1507996953541508,0.8346054021825144,1115,205,198,13841
0.36,0.84779299847793,0.8484386900228484,0.8481157213551579,0.9857610707674783,0.014238929232521715,0.15156130997715156,0.8341997607903268,1114,200,199,13846
0.37,0.8516819571865444,0.8484386900228484,0.8500572300648607,0.9861882386444539,0.013811761355546064,0.15156130997715156,0.8346269286673024,1114,194,199,13852
0.38,0.8553846153846154,0.8469154607768469,0.8511289705319557,0.9866154065214295,0.013384593478570411,0.15308453922315307,0.8335308672982764,1112,188,201,13858
0.39,0.856592135697764,0.8461538461538461,0.8513409961685824,0.9867577958137548,0.013242204186245195,0.15384615384615385,0.8329116419676009,1111,186,202,13860
0.4,0.861132660977502,0.8453922315308454,0.8531898539584934,0.9872561583368931,0.012743841663106934,0.1546077684691546,0.8326483898677385,1110,179,203,13867
0.41,0.8642745709828393,0.8438690022848438,0.8539499036608862,0.9876121315677061,0.012387868432293891,0.15613099771515612,0.83148113385255,1108,174,205,13872
0.42,0.8663017982799062,0.8438690022848438,0.8549382716049383,0.9878257155061939,0.012174284493806066,0.15613099771515612,0.8316947177910378,1108,171,205,13875
0.43,0.8717545239968528,0.8438690022848438,0.8575851393188854,0.9883952726754948,0.011604727324505197,0.15613099771515612,0.8322642749603386,1108,163,205,13883
0.44,0.8750988142292491,0.8431073876618431,0.8588052754072926,0.9887512459063078,0.011248754093692154,0.1568926123381569,0.8318586335681509,1107,158,206,13888
0.45,0.8770816812053925,0.8423457730388424,0.8593628593628594,0.9889648298447957,0.011035170155204329,0.15765422696115766,0.8313106028836381,1106,155,207,13891
0.46,0.8804780876494024,0.8415841584158416,0.8605919003115264,0.9893208030756088,0.010679196924391286,0.15841584158415842,0.8309049614914503,1105,150,208,13896
0.47,0.8839071257005604,0.8408225437928408,0.8618266978922717,0.9896767763064217,0.010323223693578243,0.15917745620715917,0.8304993200992625,1104,145,209,13901
0.48,0.8866559485530546,0.8400609291698401,0.8627297614391866,0.9899615548910722,0.01003844510892781,0.15993907083015993,0.8300224840609123,1103,141,210,13905
0.49,0.8879935535858179,0.8392993145468393,0.8629600626468285,0.9901039441833974,0.009896055816602592,0.1607006854531607,0.8294032587302367,1102,139,211,13907
0.5,0.8914100486223663,0.8377760853008378,0.8637612877895565,0.9904599174142105,0.009540082585789549,0.16222391469916222,0.8282360027150483,1100,134,213,13912
